9062;AD;Alt de la Capa
8261;AD;Andorra la Vella
9064;AD;Arinsal
30044;AE;Abu Dhabi
39534;AE;Al Ain
40081;AE;Buhasa
40677;AE;Dubai
40936;AE;Fujairah
43215;AE;Ras Al Khaimah
43589;AE;Sharjah
30235;AF;Andkhvoy
30236;AF;Asadabad
39701;AF;Asmar
30237;AF;Baghlan
39759;AF;Baghlan-farm
30238;AF;Balkh
30239;AF;Bamian
30241;AF;Baraki
39863;AF;Behsood
30242;AF;Chaghcharan
40302;AF;Char-burjack
40567;AF;Darwaz
30243;AF;Deh Shu
40666;AF;Dowlatabad
44691;AF;Faizabad
30245;AF;Farah
30244;AF;Feyzabad
30250;AF;Gardeyz
40986;AF;Gardez
30247;AF;Gereshk
41022;AF;Ghaziabad
30246;AF;Ghazni
41026;AF;Ghelmeen
30248;AF;Ghurian
30249;AF;Gizab
44692;AF;Gulistan
41180;AF;Hairatan
41182;AF;Hajigak
30251;AF;Herat
41435;AF;Iskachem
44693;AF;Islam
41440;AF;Islam-qala
41474;AF;Jabul-saraj
30252;AF;Jalalabad
30001;AF;Kabul
41585;AF;Kajaki
41590;AF;Kaldar
41610;AF;Kandahar
41687;AF;Keshm
30255;AF;Khanabad
30258;AF;Khash
30253;AF;Khevaj
30260;AF;Kholm
30259;AF;Khowst
41716;AF;Khwahan
30257;AF;Khyber Pass
30256;AF;Konduz
30261;AF;Kowt-e 'Ashrow
30262;AF;Langar
30263;AF;Lashkar Gah
42031;AF;Logar
30266;AF;Mahmud-e Raqi
30264;AF;Mazar-e Sharif
42275;AF;Mazar-i-sharif
30267;AF;Mehtarlam
30265;AF;Meymaneh
30268;AF;Now Zad
30269;AF;Owbeh
42839;AF;Paghman
30270;AF;Pol-e Khomri
43158;AF;Qades
43159;AF;Qaisar
30271;AF;Qal'eh-ye Now
30273;AF;Qalat
30272;AF;Qandahar
43160;AF;Qar-qin
30277;AF;Samangan
43496;AF;Sar-e-pol
43509;AF;Sarobi
30274;AF;Shahr-e Monjan
30276;AF;Shar
30275;AF;Sheberghan
43613;AF;Shighnan
43616;AF;Shindand
30281;AF;Taloqan
30279;AF;Tarin Kowt
30278;AF;Teywarah
30280;AF;Towrzi
44141;AF;Urgoon
30282;AF;Wazah Khwah
44435;AF;Yangi Qala
30283;AF;Zaranj
30284;AF;Zareh Sharan
44489;AF;Zebak
44694;AG;Codrington
30048;AG;Saint John's
30458;AG;St. John's
30083;AI;The Valley
9001;AL;Bairam Curri
9005;AL;Balish
9002;AL;Berat
9006;AL;Bilisht
9003;AL;Bulqize
9004;AL;Burreli
9009;AL;Dejes
9008;AL;Delvina
9010;AL;Drishti
9007;AL;Durres
9011;AL;Erseka
9012;AL;Fiera
9013;AL;Frasheri
9014;AL;Gjirokastra
9015;AL;Golemi
9016;AL;Gramshi
9017;AL;Himara
9018;AL;Ishem
9021;AL;Kakavia
9020;AL;Kavaja
9019;AL;Klos
9025;AL;Konispol
9022;AL;Korca
9023;AL;Kruja
9024;AL;Kukesi
9028;AL;Laci
9026;AL;Leskoviku
9029;AL;Lezha
9027;AL;Libohova
9031;AL;Lini
9030;AL;Lushnja
9034;AL;Maliq
9035;AL;Mamuras
9037;AL;Maqellare
9032;AL;Mashkullore
9038;AL;Memaliaj
9036;AL;Milot
9033;AL;Muzina
9039;AL;Orosh
9040;AL;Patos
9041;AL;Permeti
9042;AL;Peshkopija
9045;AL;Petrela
9046;AL;Peza
9043;AL;Pogradec
9044;AL;Puka
9047;AL;Qyteti-Stalin
9050;AL;Rinas
9049;AL;Rreshen
9048;AL;Rrogozhina
9054;AL;Saranda
9053;AL;Selca
9052;AL;Shengjin
9055;AL;Shkodra
9051;AL;Sofratike
9057;AL;Tepelena
9056;AL;Theth
8127;AL;Tirana
9058;AL;Valbona
9061;AL;Vlora
9060;AL;Voskopoja
9059;AL;Vrisera
30578;AM;Alaverdi
39597;AM;Amasija
30579;AM;Amberd
30580;AM;Anipemza
30581;AM;Aparan
30582;AM;Aragats
30583;AM;Areni
30584;AM;Artaschat
30585;AM;Arutsch
30586;AM;Aschtarak
30587;AM;Bdschni
30588;AM;Berd
30589;AM;Chor Virap
30590;AM;Chosrov Nationalpark
30591;AM;Dilidschan
30592;AM;Dilizan
30593;AM;Dschermuk
40709;AM;Dzadzur
30594;AM;Ecimiadzin
44695;AM;Erewan Airport
30595;AM;Geghard
30596;AM;Gladzor
30597;AM;Goris
